feature_name,ge_noise
claim_creation_weekday,500
claim_creation_hour,420
ccsr_category_1_code_HealthCareDiagnosisCode_1,416
HCPCSCode_Evaluation_and_Management_Services,314
payer_name,295
other_hcpcscodes,258
subscriber_pat_state,247
subscriber_state,242
ccsr_category_1_code_HealthCareDiagnosisCode_2,219
facility_code_value,204
ccsr_category_1_code_HealthCareDiagnosisCode_3,198
subscriber_pat_city,174
subscriber_pat_gender,173
subscriber_gender,167
subscriber_city,164
ccsr_category_1_code_HealthCareDiagnosisCode_4,155
ccsr_category_1_code_HealthCareDiagnosisCode_6,150
ccsr_category_1_code_HealthCareDiagnosisCode_5,150
facility_name,103
noise,0
