feature_name,ge_noise
claim_freq_type_code,500
claim_creation_weekday,500
HCPCSCode_Evaluation_and_Management_Services,324
HCPCSCode_Pathology_and_Laboratory_Procedures,286
RevCode_Physical_Therapy,277
payer_name,274
HCPCSCode_Surgery,260
other_revcodes,254
RevCode_Emergency_Room,254
subscriber_state,245
other_ndccodes,242
ccsr_category_1_code_OtherDiagnosisInformation_HI_4,241
ccsr_category_1_code_OtherDiagnosisInformation_HI_3,234
admission_type_code,231
RevCode_Radiology_Diagnostic,223
HCPCSCode_Medicine_Services_and_Procedures,220
subscriber_city,220
ccsr_category_1_code_OtherDiagnosisInformation_HI_2,216
subscriber_pat_gender,215
ccsr_category_1_code_OtherDiagnosisInformation_HI_1,206
subscriber_gender,203
claim_creation_dayofmonth,171
other_hcpcscodes,162
ccsr_category_1_code_PrincipalDiagnosis_1,151
facility_city,140
ccsr_category_1_code_Patient’SReasonForVisit_1,138
facility_state,137
facility_name,132
RevCode_Pharmacy,116
claim_creation_hour,93
claim_creation_quarter,59
admission_source_code,46
claim_creation_month,1
noise,0
